"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
23	bing	"democratic candidates 2024"	"Who is running for president in 2024? All the candidates in one place"	https://www.bing.com/ck/a?!&&p=4a95111a11220a02JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTUwNg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cudXNhdG9kYXkuY29tL3N0b3J5L25ld3MvcG9saXRpY3MvZWxlY3Rpb25zLzIwMjMvMTIvMTQvMjAyNC1wcmVzaWRlbnRpYWwtY2FuZGlkYXRlcy1yZXB1YmxpY2Fucy1kZW1vY3JhdHMvNzE2OTE4MTUwMDcv&ntb=1	"WebDec 14, 2023 · The 2024 presidential race is well underway. With the Iowa caucuses nearing, here are the Democratic, Republican, and third-party candidates running. Mines may deplete water Backers have ideas ..."	791000
24	bing	"democratic candidates 2024"	"Who""s running for president? Here are the major 2024 candidates …"	https://www.bing.com/ck/a?!&&p=96fd6a7d64187f9bJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTUzMA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9hcG5ld3MuY29tL2FydGljbGUvcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC0zMDFkYjVjZTMxMGNhZmM5NzAyNTY4MmIzOWNlYWM2ZQ&ntb=1	"WebJan 21, 2024 · FILE - Republican presidential candidate former UN Ambassador Nikki Haley speaks during a campaign event in Derry, N.H., Jan. 21, 2024. Two major Republican candidates are left competing for their party’s 2024 presidential nomination after the departure of Florida Gov. Ron DeSantis from the race."	791000
25	bing	"democratic candidates 2024"	"Official List of Candidates for 2024 South Carolina Democratic …"	https://www.bing.com/ck/a?!&&p=83f3bc4355d666ccJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTU1Mg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9zY2RwLm9yZy9zY2RwLW5ld3MvcHJlc3MtcmVsZWFzZXMvb2ZmaWNpYWwtbGlzdC1vZi1jYW5kaWRhdGVzLWZvci0yMDI0LXNvdXRoLWNhcm9saW5hLWRlbW9jcmF0aWMtcGFydHktcHJlc2lkZW50aWFsLXByaW1hcnkv&ntb=1	"WebNov 13, 2023 · The South Carolina Democratic Party’s presidential primary filing period closed on Friday, November 10th at Noon. Tonight, the Party’s Executive Council certified the following candidates to participate in our historic first in the nation primary on February 3, 2024. Per state law, SCDP Chair Christale Spain will transmit the approved candidates to …"	791000
26	bing	"democratic candidates 2024"	"Ranking the Democrats who could run for president in 2024"	https://www.bing.com/ck/a?!&&p=257cae9f3e306031JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTU3Ng&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly90aGVoaWxsLmNvbS9ob21lbmV3cy9jYW1wYWlnbi8zNzMxNjQ3LXJhbmtpbmctdGhlLWRlbW9jcmF0cy13aG8tY291bGQtcnVuLWZvci1wcmVzaWRlbnQtaW4tMjAyNC8&ntb=1	"WebNov 13, 2022 · Some Democrats still aren’t convinced he’s the right guy for 2024. Exit polls showed that two-thirds of voters don’t want him to run for reelection. Biden has made the case that if former ..."	791000
27	bing	"democratic candidates 2024"	"If Biden doesn’t run in 2024, here are the main rivals for the ..."	https://www.bing.com/ck/a?!&&p=f84da40fab37c37eJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTYwMA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly90aGVjb252ZXJzYXRpb24uY29tL2lmLWJpZGVuLWRvZXNudC1ydW4taW4tMjAyNC1oZXJlLWFyZS10aGUtbWFpbi1yaXZhbHMtZm9yLXRoZS1kZW1vY3JhdGljLW5vbWluYXRpb24tMTk5MTUx&ntb=1	"WebFeb 20, 2023 · If Biden does not run, the 2024 Democratic primaries would become a much more open contest. And there are several potential candidates. Kamala Harris. As the current vice president, ..."	791000
28	bing	"democratic candidates 2024"	"Marianne Williamson 2024 presidential campaign - Wikipedia"	https://www.bing.com/ck/a?!&&p=fd52e50083d17e77JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTYyMw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvTWFyaWFubmVfV2lsbGlhbXNvbl8yMDI0X3ByZXNpZGVudGlhbF9jYW1wYWlnbg&ntb=1	"WebMarianne Williamson, an author, political activist, and candidate for the Democratic Party presidential nomination in 2020, announced her campaign for the 2024 United States presidential election on March 4, 2023. Williamson was the first major Democratic candidate to officially announce their candidacy, as President Joe Biden did not announce his re …"	791000
29	bing	"democratic candidates 2024"	"Democratic Party primaries in Michigan, 2024 - Ballotpedia"	https://www.bing.com/ck/a?!&&p=32f1545433fa462fJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTY0Ng&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9iYWxsb3RwZWRpYS5vcmcvRGVtb2NyYXRpY19QYXJ0eV9wcmltYXJpZXNfaW5fTWljaGlnYW4sXzIwMjQ&ntb=1	"WebThis page focuses on the Democratic primaries that will take place in Michigan on August 6, 2024. A primary election is an election in which registered voters select a candidate that they believe should be a political party""s candidate for elected office to run in the general election. They are also used to choose convention delegates and party leaders."	791000
30	bing	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=7386f0eebdfb6290JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTY3MA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjIvMDQvMTYvdG9wLTEwLWRlbW9jcmF0aWMtcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC1yYW5rZWQv&ntb=1	"WebApr 16, 2022 · The poll, from YouGov, asked about the 2024 Democratic presidential primary; only 21 percent of Democratic-leaning voters said their choice was the incumbent Democratic president, Joe Biden. That ..."	791000
31	bing	"democratic candidates 2024"	"Third party and independent candidates for the 2024 United …"	https://www.bing.com/ck/a?!&&p=09203208dd1275f9JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTY5Mw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvVGhpcmRfcGFydHlfYW5kX2luZGVwZW5kZW50X2NhbmRpZGF0ZXNfZm9yX3RoZV8yMDI0X1VuaXRlZF9TdGF0ZXNfcHJlc2lkZW50aWFsX2VsZWN0aW9u&ntb=1	"WebThis article lists third party and independent candidates, also jointly known as minor candidates, associated with the 2024 United States presidential election.. Early polling for third party candidates suggested the most support for such a candidate since Ross Perot in 1996. Polls were especially high for Robert F. Kennedy Jr., who dropped out of the …"	791000
32	bing	"democratic candidates 2024"	"2024 Nevada Democratic presidential primary - Wikipedia"	https://www.bing.com/ck/a?!&&p=faf0ef74d0dd7d5cJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTcxNg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvMjAyNF9OZXZhZGFfRGVtb2NyYXRpY19wcmVzaWRlbnRpYWxfcHJpbWFyeQ&ntb=1	"WebThe 2024 Nevada Democratic presidential primary will be held on February 6, 2024, as part of the Democratic Party primaries for the 2024 presidential election. 48 delegates to the Democratic National Convention will be allocated to presidential candidates. Under the Democratic Party""s 2024 calendar that was released in February 2023, Nevada""s ..."	791000
