"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
18	duckduckgo	"democratic candidates 2024"	"Ranking the 2024 Democratic field | CNN Politics"	https://www.cnn.com/2022/09/20/politics/2024-democratic-presidential-rankings-biden-harris/index.html	"8. Gretchen Whitmer: Whitmer looks to be a the favorite to win a second term as Michigan governor this fall in a race that looked far from a sure thing as recently as a year ago. A convincing win..."	0
19	duckduckgo	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.washingtonpost.com/politics/2023/02/19/top-democrats-2024-ranked/	"The top 10 Democratic presidential candidates for 2024, ranked Analysis by Aaron Blake Staff writer February 19, 2023 at 7:00 a.m. EST President Biden said he intended to run for reelection..."	0
20	duckduckgo	"democratic candidates 2024"	"2024 Presidential Candidates - FactCheck.org"	https://www.factcheck.org/2024-presidential-candidates/	"Below are the 2024 presidential contenders — alphabetically by party. Follow the links to read our articles about the candidates. Click here for all of our campaign coverage. Democrats Joe Biden ..."	0
21	duckduckgo	"democratic candidates 2024"	"Who's running for president? Here are the major 2024 candidates | AP News"	https://apnews.com/article/presidential-candidates-2024-301db5ce310cafc97025682b39ceac6e	"FILE - The White House is seen reflected in a puddle, Sept. 3, 2022, in Washington. Two major Republican candidates are left competing for their party's 2024 presidential nomination after the departure of Florida Gov. Ron DeSantis from the race."	0
22	duckduckgo	"democratic candidates 2024"	"Biden projected to win South Carolina's 2024 Democratic primary. Here's ..."	https://www.cbsnews.com/news/south-carolina-democratic-primary-2024/	"February 3, 2024 / 9:59 AM EST / CBS News. Washington — President Biden will be facing two long-shot candidates in South Carolina's 2024Democratic presidential primary election today. The state ..."	0
23	duckduckgo	"democratic candidates 2024"	"Live updates: Nevada Democratic presidential primary election"	https://www.cnn.com/politics/live-news/nevada-primary-election-02-06-24/index.html	"Nevada voters are headed to the polls today to participate in the second official Democratic primary of the 2024 cycle that will award delegates and a state-run GOP presidential primary with no ..."	0
24	duckduckgo	"democratic candidates 2024"	"Election 2024: Nikki Haley is embarrassed in the Nevada primary by ..."	https://www.nytimes.com/live/2024/02/06/us/nevada-election-biden-trump-haley	"As in South Carolina, Mr. Biden was the only Democraticcandidate to mount a visible campaign in the state. ... It is considered among the most competitive states for the 2024 general election ..."	0
25	duckduckgo	"democratic candidates 2024"	"The top 10 Democratic presidential candidates for 2024, ranked"	https://www.washingtonpost.com/politics/2022/04/16/top-10-democratic-presidential-candidates-2024-ranked/	"The poll, from YouGov, asked about the 2024Democratic presidential primary; only 21 percent of Democratic-leaning voters said their choice was the incumbent Democratic president, Joe Biden. That ..."	0
26	duckduckgo	"democratic candidates 2024"	"Haley Loses Nevada Primary to 'None of These Candidates' Option"	https://www.bloomberg.com/news/articles/2024-02-07/biden-wins-nevada-democratic-primary-ap-says	"February 6, 2024 at 8:46 PM PST. Listen. 0:26. President Joe Biden won the Nevada Democratic primary, AP said, where he faced no serious challenger in the first battleground state contest of the ..."	0
27	duckduckgo	"democratic candidates 2024"	"These Democrats could be contenders for their party's ... - CNN"	https://www.cnn.com/2023/12/03/politics/2028-democrats-biden-surrogates/index.html	"This is the delicate and sometimes uncomfortable dance the next generation of national Democratic leaders like Newsom find themselves doing in 2024. For the next 11 months, they are stuck being ..."	0
